Specimen,,Method,Banc (μT),Tstart (°C or J),Tend (°C or J),Ziggie,Z_RMS
MMSS06-5B1,,MW,56.7,0,92,-2.796,0.073
MMSS06-6B3,,MW,9.9,92,455,-,-
MMSS06-5B4,,MW,8.1,133,452,"0.345, RMS: 0.056",
MMSS12-2A,,Th,13,350,570,"0.226, RMS: 0.049",
MMSS12-2B,,Th,16.3,350,560,"Ziggie: 0.191, RMS: 0.035",
MMSS12-4B,,Th,16.5,100,570,"Ziggie: 0.207, RMS: 0.050",
MMSS12-4C,,Th,13.6,100,570,"Ziggie: 0.366, RMS: 0.057",
MMSS12-7D,,Th,17.6,200,560,"Ziggie: 0.140, RMS: 0.033",
MMSS12-7F,,Th,17.3,200,560,"Ziggie: 0.139, RMS: 0.037",
MMSS12-8B,,Th,17.8,200,560,"Ziggie: 0.128, RMS: 0.037",
MMSS12-8F,,Th,15.3,200,560,"Ziggie: 0.120, RMS: 0.040",
MMSS12-3Z1,,MW,18.4,48,221,"Ziggie: 0.066, RMS: 0.020",
MMSS12-3Z2,,MW,17.1,95,324,"Ziggie: 0.045, RMS: 0.021",
MMSS12-8E4,,MW,16.3,0,324,,
MMSS12-8E5,,MW,17.9,116,331,,
MMSS12-8E6,,MW,16.9,0,282,,
MMSS13-1A,,Th,35.8,200,530,,
MMSS13-1C,,Th,12.5,200,560,,
MMSS13-2A,,Th,14.4,200,570,,
MMSS13-2D,,Th,13.2,200,570,,
MMSS13-5B,,Th,20.4,300,560,,
MMSS13-5C,,Th,19.9,300,560,,
MMSS13-7A,,Th,12.3,350,560,,
MMSS13-7D,,Th,12.5,350,560,,
MMSS13-2Z5,,MW,9.8,102,336,,
MMSS13-2Z6,,MW,8.5,128,285,,
MMSS13-3D1,,MW,13.1,130,286,,
MMSS13-3D2,,MW,7.4,141,287,,
MMSS13-3D4,,MW,5.8,173,287,,
MMSS13-3D5,,MW,7.2,144,294,,
MMSS13-3D6,,MW,7.4,166,263,,
MMSS13-3D7,,MW,7.5,146,340,,
MMSS13-3Z5,,MW,7.9,88,403,,
MMSS13-3Z7,,MW,7.4,110,363,,
MMSS13-3Z8,,MW,11.4,59,196,,
MMSS13-3Z9,,MW,7.7,87,288,,
MMSS13-4Z1,,MW,14.2,45,303,,
MMSS13-4Z2,,MW,10.7,108,352,,
MMSS15-6D1,,MW,15.4,39,293,,
MMSS15-7A3,,MW,12.1,90,425,,
MMSS15-7A4,,MW,7.7,170,355,,
MMSS15-7A7,,MW,9.6,105,480,,
